state,casc
Alaska,0
Montana,1
North Dakota,1
Wyoming,1
South Dakota,1
Colorado,1
Kansas,1
Connecticut,2
Delaware,2
District of Columbia,2
Illinois,2
Indiana,2
Iowa,2
Kentucky,2
Maine,2
Maryland,2
Massachusetts,2
Michigan,2
Minnesota,2
Missouri,2
Nebraska,1
New Hampshire,2
New Jersey,2
New York,2
Ohio,2
Pennsylvania,2
Rhode Island,2
Vermont,2
Virginia,2
West Virginia,2
Wisconsin,2
Idaho,3
Oregon,3
Washington,3
Hawaii,4
New Mexico,5
Oklahoma,5
Texas,5
Louisiana,5
Arkansas,6
Tennessee,6
Mississippi,6
Alabama,6
Georgia,6
North Carolina,6
South Carolina,6
Florida,6
Puerto Rico,6
California,7
Nevada,7
Utah,7
Arizona,7
